	position	score	seq_len	species	raw_position	strand	align_position
10291	1.0	1.8246206045150757	2381.0	VT0809|1|MEMB002A|-|2381	1	positive	1
10292	-2380.0	-0.5156393647193909	2381.0	VT0809|1|MEMB002A|-|2381	1	negative	1
10293	2.0	2.189617395401001	2381.0	VT0809|1|MEMB002A|-|2381	2	positive	2
10294	5.0	0.6046549081802368	2381.0	VT0809|1|MEMB002A|-|2381	5	positive	5
10295	-2376.0	-0.3453044295310974	2381.0	VT0809|1|MEMB002A|-|2381	5	negative	5
10296	7.0	-0.4331772029399872	2381.0	VT0809|1|MEMB002A|-|2381	7	positive	7
10297	8.0	0.6046549081802368	2381.0	VT0809|1|MEMB002A|-|2381	8	positive	8
10298	10.0	0.23965807259082794	2381.0	VT0809|1|MEMB002A|-|2381	10	positive	10
10299	-2371.0	-0.5156393647193909	2381.0	VT0809|1|MEMB002A|-|2381	10	negative	10
10300	11.0	-0.3128829598426819	2381.0	VT0809|1|MEMB002A|-|2381	11	positive	11
10301	13.0	-0.13231070339679718	2381.0	VT0809|1|MEMB002A|-|2381	13	positive	13
10302	16.0	-0.16087986528873444	2381.0	VT0809|1|MEMB002A|-|2381	16	positive	16
10303	-2365.0	-0.28117409348487854	2381.0	VT0809|1|MEMB002A|-|2381	16	negative	16
10304	18.0	3.6257164478302	2381.0	VT0809|1|MEMB002A|-|2381	18	positive	18
10305	20.0	-0.13231070339679718	2381.0	VT0809|1|MEMB002A|-|2381	20	positive	20
10306	22.0	1.005192756652832	2381.0	VT0809|1|MEMB002A|-|2381	22	positive	22
10307	-2359.0	2.7421584129333496	2381.0	VT0809|1|MEMB002A|-|2381	22	negative	22
10308	24.0	-0.4331772029399872	2381.0	VT0809|1|MEMB002A|-|2381	24	positive	24
10309	25.0	0.6046549081802368	2381.0	VT0809|1|MEMB002A|-|2381	25	positive	25
10310	27.0	1.005192756652832	2381.0	VT0809|1|MEMB002A|-|2381	27	positive	27
10311	31.0	0.6046549081802368	2381.0	VT0809|1|MEMB002A|-|2381	31	positive	31
10312	-2350.0	-0.3453044295310974	2381.0	VT0809|1|MEMB002A|-|2381	31	negative	31
10313	33.0	1.069323182106018	2381.0	VT0809|1|MEMB002A|-|2381	33	positive	33
10314	-2348.0	0.23965807259082794	2381.0	VT0809|1|MEMB002A|-|2381	33	negative	33
10315	35.0	2.5901553630828857	2381.0	VT0809|1|MEMB002A|-|2381	35	positive	35
10316	36.0	-0.16087986528873444	2381.0	VT0809|1|MEMB002A|-|2381	36	positive	36
10317	37.0	-0.28431379795074463	2381.0	VT0809|1|MEMB002A|-|2381	37	positive	37
10318	38.0	0.6046549081802368	2381.0	VT0809|1|MEMB002A|-|2381	38	positive	38
10319	41.0	0.6046549081802368	2381.0	VT0809|1|MEMB002A|-|2381	41	positive	43
10320	43.0	1.005192756652832	2381.0	VT0809|1|MEMB002A|-|2381	43	positive	45
10321	46.0	0.6046549081802368	2381.0	VT0809|1|MEMB002A|-|2381	46	positive	48
10322	-2335.0	-0.3453044295310974	2381.0	VT0809|1|MEMB002A|-|2381	46	negative	48
10323	48.0	0.3037883937358856	2381.0	VT0809|1|MEMB002A|-|2381	48	positive	73
10324	50.0	0.6046549081802368	2381.0	VT0809|1|MEMB002A|-|2381	50	positive	75
10325	-2331.0	-0.3453044295310974	2381.0	VT0809|1|MEMB002A|-|2381	50	negative	75
10326	52.0	1.069323182106018	2381.0	VT0809|1|MEMB002A|-|2381	52	positive	77
10327	-2324.0	-0.3128829598426819	2381.0	VT0809|1|MEMB002A|-|2381	57	negative	82
10328	58.0	-0.5156393647193909	2381.0	VT0809|1|MEMB002A|-|2381	58	positive	83
10329	-2323.0	0.23965807259082794	2381.0	VT0809|1|MEMB002A|-|2381	58	negative	83
10330	-2322.0	-0.5156393647193909	2381.0	VT0809|1|MEMB002A|-|2381	59	negative	84
10331	60.0	1.8246206045150757	2381.0	VT0809|1|MEMB002A|-|2381	60	positive	85
10332	-2321.0	-0.5156393647193909	2381.0	VT0809|1|MEMB002A|-|2381	60	negative	85
10333	61.0	1.424082636833191	2381.0	VT0809|1|MEMB002A|-|2381	61	positive	86
10334	-2316.0	2.189617395401001	2381.0	VT0809|1|MEMB002A|-|2381	65	negative	90
10335	-2315.0	1.8887509107589722	2381.0	VT0809|1|MEMB002A|-|2381	66	negative	91
10336	67.0	0.3037883937358856	2381.0	VT0809|1|MEMB002A|-|2381	67	positive	92
10337	68.0	3.5615861415863037	2381.0	VT0809|1|MEMB002A|-|2381	68	positive	93
10338	-2313.0	-0.5156393647193909	2381.0	VT0809|1|MEMB002A|-|2381	68	negative	93
10339	-2309.0	0.4526517987251282	2381.0	VT0809|1|MEMB002A|-|2381	72	negative	97
10340	-2308.0	0.3037883937358856	2381.0	VT0809|1|MEMB002A|-|2381	73	negative	98
10341	74.0	0.23965807259082794	2381.0	VT0809|1|MEMB002A|-|2381	74	positive	99
10342	-2307.0	-0.5156393647193909	2381.0	VT0809|1|MEMB002A|-|2381	74	negative	99
10343	75.0	3.5615861415863037	2381.0	VT0809|1|MEMB002A|-|2381	75	positive	100
10344	-2306.0	-0.5156393647193909	2381.0	VT0809|1|MEMB002A|-|2381	75	negative	100
10345	76.0	0.6871170401573181	2381.0	VT0809|1|MEMB002A|-|2381	76	positive	101
10346	-2300.0	-0.16087986528873444	2381.0	VT0809|1|MEMB002A|-|2381	81	negative	106
10347	-2299.0	2.5901553630828857	2381.0	VT0809|1|MEMB002A|-|2381	82	negative	107
10348	-2295.0	0.4526517987251282	2381.0	VT0809|1|MEMB002A|-|2381	86	negative	111
10349	87.0	-0.5156393647193909	2381.0	VT0809|1|MEMB002A|-|2381	87	positive	112
10350	-2294.0	0.23965807259082794	2381.0	VT0809|1|MEMB002A|-|2381	87	negative	112
10351	-2293.0	-0.5156393647193909	2381.0	VT0809|1|MEMB002A|-|2381	88	negative	113
10352	89.0	-0.49730753898620605	2381.0	VT0809|1|MEMB002A|-|2381	89	positive	114
10353	-2289.0	-0.5156393647193909	2381.0	VT0809|1|MEMB002A|-|2381	92	negative	117
